Year,Country,CountryCode,Variable,VariableCode,UnconsolidatedVariableCode,UnconsolidatedVariableName,ActivityCode,Activity,ActivityCombination,Value,UnitType,ValueUSD,Metadata
2004,Australia,036,Output,14,14,Output (valuation not defined),33,"Medical, precision and optical instruments",33,3.11775756836E9,M,2.29288691494E9,
2004,Australia,036,Output,14,14,Output (valuation not defined),34,"Motor vehicles, trailers, semi-trailers",34,2.227759960938E10,M,1.638357554126E10,
2004,Australia,036,Output,14,14,Output (valuation not defined),35,Other transport equipment,35,6.62729980469E9,M,4.87390333288E9,
2004,Australia,036,Output,14,14,Output (valuation not defined),36,Furniture; manufacturing n.e.c.,36,9.9585E9,M,7.32376198013E9,
2004,Australia,036,Output,14,14,Output (valuation not defined),40,"Electricity, gas, steam and hot water supply",40,2.61684140625E10,M,1.924499030889E10,
2004,Australia,036,Output,14,14,Output (valuation not defined),41,"Water collection, purification, distribution",41,6.38863378906E9,M,4.6983816086E9,
2004,Austria,040,Output,14,14,Output (valuation not defined),10,Mining of coal and lignite; extraction of peat,10A,5.5829998779E8,M,6.9447034388E8,
2004,Austria,040,Output,14,14,Output (valuation not defined),12,Mining of uranium and thorium ores,12,0.0,M,0.0,
2004,Austria,040,Output,14,14,Output (valuation not defined),13,Mining of metal ores,13A,9.5720001221E8,M,1.19066279093E9,
2004,Austria,040,Output,14,14,Output (valuation not defined),15,Food and beverages,15A,1.222420019531E10,M,1.520570427891E10,
2004,Austria,040,Output,14,14,Output (valuation not defined),17,Textiles,17,2.03319995117E9,M,2.52910102121E9,
2004,Austria,040,Output,14,14,Output (valuation not defined),18,"Wearing apparel, fur",18,7.5470001221E8,M,9.3877268218E8,
2004,Austria,040,Output,14,14,Output (valuation not defined),20,Wood products (excl. furniture),20,5.99770019531E9,M,7.46054989826E9,
2004,Austria,040,Output,14,14,Output (valuation not defined),21,Paper and paper products,21,4.8465E9,M,6.02856993589E9,
2004,Austria,040,Output,14,14,Output (valuation not defined),22,Printing and publishing,22,4.40839990234E9,M,5.48361644829E9,
2004,Austria,040,Output,14,14,Output (valuation not defined),24,Chemicals and chemical products,24,7.0425E9,M,8.76017822625E9,
2004,Austria,040,Output,14,14,Output (valuation not defined),25,Rubber and plastics products,25,4.24970019531E9,M,5.28620960157E9,
2004,Austria,040,Output,14,14,Output (valuation not defined),26,Non-metallic mineral products,26,5.46570019531E9,M,6.79879415579E9,
2004,Austria,040,Output,14,14,Output (valuation not defined),27,Basic metals,27,8.71809960938E9,M,1.084445954878E10,
2004,Austria,040,Output,14,14,Output (valuation not defined),28,Fabricated metal products,28,9.09870019531E9,M,1.131788929189E10,
2004,Austria,040,Output,14,14,Output (valuation not defined),29,Machinery and equipment n.e.c.,29,1.351540039063E10,M,1.681183048931E10,
