Year,Country,CountryCode,Variable,VariableCode,UnconsolidatedVariableCode,UnconsolidatedVariableName,ActivityCode,Activity,ActivityCombination,Value,UnitType,ValueUSD,Metadata
2004,Armenia,051,Employees,04,04,Number of employees,18,"Wearing apparel, fur",18,5549.0,N,NA,Special note:UNIDO Estimate
2004,Armenia,051,Employees,04,04,Number of employees,19,"Leather, leather products and footwear",19,543.0,N,NA,Special note:UNIDO Estimate
2004,Armenia,051,Employees,04,04,Number of employees,20,Wood products (excl. furniture),20,1547.0,N,NA,Special note:UNIDO Estimate
2004,Armenia,051,Employees,04,04,Number of employees,21,Paper and paper products,21,1137.0,N,NA,Special note:UNIDO Estimate
2004,Armenia,051,Employees,04,04,Number of employees,22,Printing and publishing,22,1808.0,N,NA,Special note:UNIDO Estimate
2004,Armenia,051,Employees,04,04,Number of employees,24,Chemicals and chemical products,24,11692.0,N,NA,Special note:UNIDO Estimate
2004,Armenia,051,Employees,04,04,Number of employees,25,Rubber and plastics products,25,2879.0,N,NA,Special note:UNIDO Estimate
2004,Armenia,051,Employees,04,04,Number of employees,26,Non-metallic mineral products,26,12062.0,N,NA,Special note:UNIDO Estimate
2004,Armenia,051,Employees,04,04,Number of employees,27,Basic metals,27,9091.0,N,NA,Special note:UNIDO Estimate
2004,Armenia,051,Employees,04,04,Number of employees,28,Fabricated metal products,28,3945.0,N,NA,Special note:UNIDO Estimate
2004,Armenia,051,Employees,04,04,Number of employees,29,Machinery and equipment n.e.c.,29,4510.0,N,NA,Special note:UNIDO Estimate
2004,Armenia,051,Employees,04,04,Number of employees,31,Electrical machinery and apparatus,31,2919.0,N,NA,Special note:UNIDO Estimate
2004,Armenia,051,Employees,04,04,Number of employees,36,Furniture; manufacturing n.e.c.,36,3859.0,N,NA,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,15,Food and beverages,15,6.077459235E9,M,1.139272579E7,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,16,Tobacco products,16,9.35773471E8,M,1754188.74,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,17,Textiles,17,7.5224663E7,M,141015.17,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,18,"Wearing apparel, fur",18,5.3350825E8,M,1000107.61,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,19,"Leather, leather products and footwear",19,5.9752924E7,M,112012.05,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,20,Wood products (excl. furniture),20,1.38712145E8,M,260027.98,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,21,Paper and paper products,21,1.53383622E8,M,287530.94,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,22,Printing and publishing,22,2.24606973E8,M,421045.3,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,24,Chemicals and chemical products,24,2.244202455E9,M,4206952.64,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,25,Rubber and plastics products,25,3.45446592E8,M,647569.67,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,26,Non-metallic mineral products,26,2.153506053E9,M,4036934.35,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,27,Basic metals,27,2.8451995E9,M,5333573.86,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,28,Fabricated metal products,28,7.61583028E8,M,1427653.61,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,29,Machinery and equipment n.e.c.,29,7.23703942E8,M,1356645.97,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,30,"Office, accounting and computing machinery",30F,3.05166719E8,M,572061.55,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,31,Electrical machinery and apparatus,31,4.56149554E8,M,855092.0,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,35,Other transport equipment,35,5872939.0,M,11009.33,Special note:UNIDO Estimate
2004,Armenia,051,Wages and salaries,05,05,Wages and salaries paid to employees,36,Furniture; manufacturing n.e.c.,36,5.54581826E8,M,1039611.86,Special note:UNIDO Estimate
2004,Armenia,051,Output,14,13,Output at producers' prices,13,Mining of metal ores,13,9.4614E10,M,1.7736217002E8,
2004,Armenia,051,Output,14,13,Output at producers' prices,14,Other mining and quarrying,14,2.485E9,M,4658348.58,
2004,Armenia,051,Output,14,13,Output at producers' prices,15,Food and beverages,15,1.66878E11,M,3.1282732163E8,
2004,Armenia,051,Output,14,13,Output at producers' prices,16,Tobacco products,16,1.4798E10,M,2.774013774E7,
2004,Armenia,051,Output,14,13,Output at producers' prices,17,Textiles,17,2.899E9,M,5434427.58,
2004,Armenia,051,Output,14,13,Output at producers' prices,18,"Wearing apparel, fur",18,2.235E9,M,4189701.84,
2004,Armenia,051,Output,14,13,Output at producers' prices,19,"Leather, leather products and footwear",19,3.34E8,M,626112.04,
2004,Armenia,051,Output,14,13,Output at producers' prices,20,Wood products (excl. furniture),20,1.743E9,M,3267405.06,
2004,Armenia,051,Output,14,13,Output at producers' prices,21,Paper and paper products,21,1.46E9,M,2736896.95,
2004,Armenia,051,Output,14,13,Output at producers' prices,22,Printing and publishing,22,7.12E9,M,1.334705911E7,
2004,Armenia,051,Output,14,13,Output at producers' prices,23,"Coke,refined petroleum products,nuclear fuel",23,0.0,M,0.0,
2004,Armenia,051,Output,14,13,Output at producers' prices,24,Chemicals and chemical products,24,1.0551E10,M,1.977876695E7,
2004,Armenia,051,Output,14,13,Output at producers' prices,25,Rubber and plastics products,25,2.691E9,M,5044513.49,
2004,Armenia,051,Output,14,13,Output at producers' prices,26,Non-metallic mineral products,26,1.8011E10,M,3.376318562E7,
2004,Armenia,051,Output,14,13,Output at producers' prices,27,Basic metals,27,6.7189E10,M,1.2595162282E8,
2004,Armenia,051,Output,14,13,Output at producers' prices,28,Fabricated metal products,28,5.041E9,M,9449792.83,
2004,Armenia,051,Output,14,13,Output at producers' prices,29,Machinery and equipment n.e.c.,29,7.519E9,M,1.40950193E7,
2004,Armenia,051,Output,14,13,Output at producers' prices,30,"Office, accounting and computing machinery",30,1.018E9,M,1908329.52,
2004,Armenia,051,Output,14,13,Output at producers' prices,31,Electrical machinery and apparatus,31,4.494E9,M,8424393.77,
2004,Armenia,051,Output,14,13,Output at producers' prices,32,"Radio,television and communication equipment",32,4.74E8,M,888554.22,
2004,Armenia,051,Output,14,13,Output at producers' prices,33,"Medical, precision and optical instruments",33,3.15E9,M,5904948.9,
2004,Armenia,051,Output,14,13,Output at producers' prices,34,"Motor vehicles, trailers, semi-trailers",34,1.9E7,M,35617.15,Footnote:34 includes motor vehicles only.
2004,Armenia,051,Output,14,13,Output at producers' prices,35,Other transport equipment,35,6.65E8,M,1246600.32,
2004,Armenia,051,Output,14,13,Output at producers' prices,36,Furniture; manufacturing n.e.c.,36,1.84E10,M,3.449239994E7,
2004,Armenia,051,Output,14,13,Output at producers' prices,37,Recycling,37,1.3E7,M,24369.63,
2004,Armenia,051,Output,14,13,Output at producers' prices,40,"Electricity, gas, steam and hot water supply",40,9.3896E10,M,1.7601621659E8,
2004,Armenia,051,Output,14,13,Output at producers' prices,41,"Water collection, purification, distribution",41,7.565E9,M,1.41812503E7,
2004,Australia,036,Employees,04,03,Number of persons engaged,15,Food and beverages,15,193242.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,16,Tobacco products,16,1954.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,17,Textiles,17,24942.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,18,"Wearing apparel, fur",18,24775.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,19,"Leather, leather products and footwear",19,4234.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,20,Wood products (excl. furniture),20,54066.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,21,Paper and paper products,21,25374.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,22,Printing and publishing,22,106550.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,23,"Coke,refined petroleum products,nuclear fuel",23,7375.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,24,Chemicals and chemical products,24,55487.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,25,Rubber and plastics products,25,44035.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,26,Non-metallic mineral products,26,47607.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,27,Basic metals,27,58600.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,28,Fabricated metal products,28,143465.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,29,Machinery and equipment n.e.c.,29,55943.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,30,"Office, accounting and computing machinery",30,3713.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,31,Electrical machinery and apparatus,31,24888.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,32,"Radio,television and communication equipment",32,16947.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,33,"Medical, precision and optical instruments",33,17495.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,34,"Motor vehicles, trailers, semi-trailers",34,69760.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,35,Other transport equipment,35,35655.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Employees,04,03,Number of persons engaged,36,Furniture; manufacturing n.e.c.,36,71831.0,N,NA,Special note:UNIDO Estimate
2004,Australia,036,Wages and salaries,05,05,Wages and salaries paid to employees,20,Wood products (excl. furniture),20,1.954754584E9,M,1.43758169431E9,Special note:UNIDO Estimate
2004,Australia,036,Wages and salaries,05,05,Wages and salaries paid to employees,21,Paper and paper products,21,1.380158136E9,M,1.01500724838E9,Special note:UNIDO Estimate
2004,Australia,036,Wages and salaries,05,05,Wages and salaries paid to employees,22,Printing and publishing,22,2.051459542E9,M,1.50870124993E9,Special note:UNIDO Estimate
2004,Australia,036,Wages and salaries,05,05,Wages and salaries paid to employees,23,"Coke,refined petroleum products,nuclear fuel",23,5.58635436E8,M,4.108362672E8,Special note:UNIDO Estimate
